iter	Logloss
0	0.6880166214
1	0.6829696615
2	0.6791155931
3	0.6751631036
4	0.6702465534
5	0.6656952498
6	0.66121258
7	0.6572867616
8	0.6525393863
9	0.6482868673
10	0.6443511462
11	0.6400877335
12	0.6357919213
13	0.632525147
14	0.6281648526
15	0.624060222
16	0.6202465039
17	0.6173648
18	0.6138703527
19	0.6102567346
20	0.6071338375
21	0.6040706268
22	0.6010168291
23	0.5974703381
24	0.5936837549
25	0.5906934236
26	0.5873772701
27	0.5842177853
28	0.5820309342
29	0.579395729
30	0.5762154683
31	0.573474426
32	0.5702261022
33	0.5675211044
34	0.5644131507
35	0.5616686136
36	0.5589952325
37	0.5562401537
38	0.554151309
39	0.5515206497
40	0.5491718482
41	0.5465813469
42	0.5440841444
43	0.5417273914
44	0.5401426787
45	0.5376373195
46	0.5357372546
47	0.5334410356
48	0.5314847788
49	0.5290271918
50	0.5269778477
51	0.5253499861
52	0.5233853079
53	0.5209113269
54	0.5193227787
55	0.5179494229
56	0.515989104
57	0.5142647397
58	0.5127419279
59	0.5106704452
60	0.5094483432
61	0.5080737163
62	0.5065051087
63	0.5046496215
64	0.502665738
65	0.5003567836
66	0.4984257864
67	0.4972726287
68	0.4956415077
69	0.4939788515
70	0.4920223372
71	0.4906787935
72	0.4890891352
73	0.4878466098
74	0.4863039121
75	0.4846304572
76	0.4832509433
77	0.4820256619
78	0.4805508374
79	0.4787049692
80	0.4775113217
81	0.4763707856
82	0.4754424784
83	0.4743223473
84	0.4730760254
85	0.4717286204
86	0.4705961773
87	0.4697323492
88	0.4679711381
89	0.4666609786
90	0.4650733954
91	0.4638037038
92	0.462241823
93	0.4606142544
94	0.459493721
95	0.4580521038
96	0.4570041461
97	0.4561328051
98	0.4547434718
99	0.4537494194
100	0.4526885564
101	0.451485844
102	0.450085261
103	0.4491449315
104	0.4482532007
105	0.4472203444
106	0.4463179386
107	0.4450833152
108	0.4442116766
109	0.4433950436
110	0.4423334466
111	0.4417941999
112	0.44061714
113	0.4395000637
114	0.4383572709
115	0.4373968946
116	0.4364492724
117	0.4355251755
118	0.4344704893
119	0.4333043523
120	0.4324021135
121	0.4312692465
122	0.4302204274
123	0.4291327216
124	0.4283679731
125	0.4273375481
126	0.4264909581
127	0.4257428808
128	0.4251017106
129	0.4242345104
130	0.4230259707
131	0.4222987222
132	0.4214015319
133	0.4205515642
134	0.4199401619
135	0.4189051238
136	0.418084898
137	0.4171546038
138	0.416178867
139	0.4153667303
140	0.4144574231
141	0.4137452386
142	0.4131296285
143	0.412114912
144	0.4112227282
145	0.4103591014
146	0.4095452051
