iter	Passed	Remaining
0	61	61004
1	64	32092
2	68	22616
3	71	17843
4	75	15054
5	78	13007
6	82	11736
7	84	10537
8	88	9769
9	91	9025
10	95	8549
11	97	8031
12	100	7626
13	104	7326
14	107	7075
15	111	6842
16	114	6602
17	117	6404
18	120	6215
19	122	5991
20	126	5884
21	127	5685
22	130	5525
23	133	5441
24	137	5367
25	141	5295
26	145	5231
27	147	5136
28	151	5079
29	155	5037
30	159	4989
31	162	4924
32	166	4873
33	169	4820
34	172	4747
35	175	4697
36	178	4633
37	181	4592
38	183	4515
39	185	4441
40	190	4448
41	193	4402
42	196	4363
43	199	4325
44	203	4310
45	205	4253
46	206	4191
47	209	4156
48	211	4108
49	214	4074
50	217	4050
51	223	4067
52	228	4078
53	231	4053
54	233	4017
55	236	3989
56	239	3962
57	243	3948
58	247	3941
59	249	3906
60	251	3869
61	254	3846
62	255	3805
63	257	3767
64	261	3754
65	265	3762
66	271	3774
67	274	3760
68	280	3779
69	285	3786
70	288	3775
71	293	3778
72	296	3764
73	303	3803
74	306	3783
75	309	3759
76	311	3739
77	314	3712
78	317	3706
79	319	3679
80	325	3692
81	328	3677
82	330	3649
83	332	3620
84	334	3597
85	337	3588
86	341	3581
87	343	3564
88	347	3555
89	351	3557
90	357	3568
91	362	3580
92	365	3567
93	369	3563
94	371	3537
95	374	3530
96	378	3522
97	381	3507
98	383	3490
99	387	3488
100	390	3473
101	393	3466
102	397	3458
103	401	3460
104	403	3441
105	408	3448
106	412	3440
107	414	3424
108	417	3416
109	420	3403
110	424	3400
111	427	3387
112	435	3416
113	441	3432
114	446	3437
115	450	3432
116	456	3441
117	460	3440
118	465	3447
119	467	3428
120	470	3417
121	474	3414
122	476	3399
123	480	3397
124	484	3390
125	487	3380
126	489	3367
127	492	3358
128	497	3358
129	500	3347
130	503	3339
131	507	3337
132	510	3328
133	516	3339
134	518	3325
135	523	3324
136	525	3309
137	528	3300
138	532	3295
139	535	3287
140	538	3278
141	542	3277
142	544	3262
143	549	3264
144	553	3263
145	556	3252
146	557	3236
147	560	3227
148	564	3223
149	566	3212
150	570	3209
151	574	3202
152	576	3191
153	581	3194
154	584	3184
155	589	3190
156	591	3174
157	592	3158
158	598	3167
159	603	3170
160	607	3164
161	612	3167
162	615	3158
163	616	3145
164	619	3135
165	624	3137
166	626	3124
167	629	3115
168	631	3103
169	636	3106
170	640	3106
171	643	3097
172	648	3100
173	651	3092
174	654	3085
175	658	3084
176	663	3084
177	667	3084
178	670	3074
179	673	3066
180	674	3052
181	676	3042
182	681	3042
183	685	3038
184	688	3034
185	691	3024
186	696	3028
187	699	3021
188	703	3016
189	706	3013
190	709	3006
191	714	3005
192	717	2998
193	720	2994
194	724	2991
195	727	2984
196	732	2984
197	736	2981
198	740	2981
199	742	2970
200	747	2972
201	751	2970
202	756	2969
203	760	2966
204	763	2961
205	767	2958
206	771	2957
207	777	2959
208	781	2957
209	784	2951
210	789	2950
211	790	2939
212	795	2938
213	799	2936
214	802	2931
215	806	2925
216	809	2920
217	814	2920
218	817	2914
219	820	2910
220	824	2906
221	830	2909
222	833	2902
223	836	2899
224	838	2888
225	844	2890
226	846	2883
227	850	2879
228	855	2881
229	857	2870
230	863	2876
231	866	2867
232	871	2868
233	873	2860
234	879	2862
235	882	2857
236	886	2852
237	891	2853
238	895	2851
239	900	2852
240	904	2847
241	907	2841
242	911	2841
243	916	2838
244	917	2827
245	921	2825
246	927	2826
247	930	2821
248	934	2818
249	941	2823
250	947	2828
251	951	2825
252	954	2819
253	957	2810
254	961	2808
255	964	2802
256	969	2802
257	974	2803
258	976	2793
259	984	2801
260	987	2797
261	992	2794
262	998	2798
263	1004	2800
264	1008	2797
265	1015	2800
266	1017	2794
267	1021	2788
268	1022	2779
269	1025	2772
270	1031	2773
271	1035	2770
272	1038	2766
273	1041	2758
274	1046	2758
275	1051	2758
276	1053	2748
277	1058	2749
278	1061	2744
279	1064	2738
280	1068	2734
281	1070	2725
282	1072	2718
283	1076	2714
284	1078	2706
285	1080	2697
286	1083	2692
287	1086	2687
288	1091	2684
289	1092	2674
290	1096	2671
291	1102	2672
292	1128	2723
293	1136	2728
294	1142	2731
295	1149	2734
296	1156	2737
297	1165	2744
298	1176	2758
299	1184	2764
300	1191	2766
301	1195	2762
302	1210	2783
303	1216	2785
304	1224	2789
305	1227	2784
306	1229	2775
307	1235	2776
308	1238	2769
309	1244	2770
310	1249	2767
311	1256	2771
312	1262	2771
313	1272	2780
314	1279	2783
315	1286	2784
316	1289	2778
317	1292	2770
318	1295	2765
319	1299	2761
320	1302	2754
321	1306	2750
322	1309	2743
323	1313	2741
324	1316	2734
325	1320	2730
326	1324	2726
327	1329	2724
328	1334	2721
329	1337	2715
330	1340	2708
331	1342	2701
332	1346	2697
333	1351	2695
334	1357	2694
335	1359	2686
336	1363	2682
337	1365	2675
338	1370	2672
339	1374	2667
340	1377	2661
341	1381	2657
342	1383	2650
343	1387	2645
344	1392	2643
345	1394	2636
346	1398	2631
347	1402	2627
348	1406	2623
349	1410	2619
350	1415	2616
351	1418	2611
352	1422	2606
353	1424	2599
354	1428	2594
355	1431	2589
356	1434	2584
357	1437	2578
358	1439	2570
359	1444	2567
360	1448	2563
361	1452	2559
362	1459	2560
363	1467	2564
364	1470	2558
365	1478	2560
366	1481	2556
367	1494	2567
368	1500	2565
369	1508	2568
370	1525	2586
371	1531	2586
372	1539	2587
373	1546	2588
374	1555	2591
375	1556	2583
376	1558	2576
377	1562	2570
378	1566	2567
379	1569	2561
380	1576	2561
381	1579	2555
382	1582	2548
383	1593	2555
384	1597	2552
385	1605	2553
386	1609	2548
387	1614	2545
388	1619	2544
389	1626	2543
390	1630	2539
391	1635	2536
392	1637	2529
393	1639	2521
394	1644	2519
395	1646	2511
396	1659	2520
397	1663	2516
398	1667	2512
399	1675	2512
400	1681	2511
401	1684	2505
402	1689	2502
403	1694	2499
404	1696	2491
405	1705	2495
406	1712	2495
407	1722	2498
408	1723	2490
409	1734	2495
410	1737	2489
411	1739	2482
412	1745	2481
413	1750	2477
414	1755	2474
415	1761	2473
416	1767	2470
417	1775	2472
418	1783	2473
419	1788	2469
420	1792	2465
421	1799	2464
422	1804	2461
423	1806	2454
424	1809	2447
425	1812	2442
426	1819	2441
427	1823	2436
428	1826	2430
429	1829	2425
430	1834	2421
431	1838	2417
432	1841	2411
433	1847	2409
434	1853	2407
435	1856	2401
436	1861	2398
437	1868	2397
438	1872	2392
439	1874	2385
440	1876	2378
441	1877	2370
442	1882	2366
443	1885	2360
444	1889	2356
445	1891	2350
446	1893	2342
447	1897	2337
448	1900	2331
449	1905	2328
450	1909	2324
451	1917	2324
452	1922	2321
453	1925	2315
454	1932	2314
455	1936	2310
456	1940	2305
457	1944	2301
458	1948	2296
459	1952	2291
460	1962	2294
461	1965	2288
462	1970	2285
463	1977	2284
464	1984	2283
465	1988	2279
466	1992	2273
467	1997	2271
468	2000	2264
469	2004	2260
470	2006	2253
471	2010	2248
472	2012	2242
473	2014	2235
474	2017	2229
475	2020	2224
476	2024	2219
477	2029	2216
478	2033	2211
479	2035	2205
480	2039	2200
481	2043	2195
482	2047	2191
483	2050	2186
484	2052	2179
485	2056	2174
486	2058	2168
487	2063	2164
488	2066	2159
489	2068	2153
490	2071	2147
491	2074	2141
492	2076	2135
493	2079	2130
494	2084	2127
495	2087	2121
496	2090	2115
497	2092	2109
498	2096	2104
499	2099	2099
500	2101	2092
501	2103	2086
502	2107	2081
503	2112	2078
504	2115	2073
505	2118	2068
506	2121	2063
507	2124	2057
508	2129	2053
509	2132	2049
510	2135	2043
511	2139	2038
512	2142	2033
513	2146	2029
514	2149	2023
515	2153	2019
516	2155	2013
517	2158	2008
518	2160	2002
519	2165	1999
520	2171	1996
521	2177	1993
522	2181	1989
523	2187	1987
524	2191	1982
525	2193	1976
526	2198	1973
527	2203	1969
528	2206	1964
529	2212	1962
530	2217	1958
531	2221	1954
532	2224	1948
533	2227	1943
534	2230	1938
535	2231	1932
536	2233	1925
537	2239	1922
538	2244	1919
539	2247	1914
540	2257	1914
541	2260	1910
542	2267	1908
543	2277	1909
544	2280	1904
545	2288	1902
546	2293	1899
547	2294	1892
548	2301	1890
549	2308	1888
550	2312	1884
551	2319	1882
552	2329	1882
553	2335	1879
554	2340	1876
555	2350	1877
556	2355	1873
557	2365	1873
558	2367	1867
559	2369	1861
560	2371	1855
561	2373	1849
562	2374	1843
563	2376	1836
564	2377	1830
565	2379	1824
566	23567	2420567	23568	2425	1836
569	2431	1834
570	2442	1834
571	2448	1831
572	2452	1827
573	2459	1825
574	2463	1820
575	2465	1815
576	2474	1813
577	2484	1814
578	2491	1811
579	2493	1805
580	2495	1799
581	2496	1793
582	2497	1786
583	2499	1780
584	2501	1774
585	2502	1768
586	2504	1761
587	2505	1755
588	2506	1749
589	2508	1743
590	2510	17591	2516	1734
592	2520	1729
593	2528	1728
594	2537	1727
595	2538	1720
596	2545	1718
597	2554	1717
598	2558	1712
599	2564	1709
600	2576	1710
601	2586	1709
602	2590	1705
603	2594	1700
604	2610	1704
605	2623	1705
606	2629	1702
607	2634	1698
608	2658	1706
609	2665	1704
610	2677	1704
611	2689	1705
612	2700	1704
613	2716	1707
614	2727	1707
615	2729	1701
616	2756	1711
617	2765	1709
618	2799	1722
619	2813	1724
620	2848	1738
621	2854	1734
622	2874	1739
623	2932	1767
624	2949	1769
625	2958	1767
626	2968	1766
627	2995	1774
628	2999	1769
629	3008	1766
630	3019	1766
631	3032	1765
632	3057	1772
633	3064	1769
634	3076	1768
635	3098	1773
636	3105	1769
637	3107	1763
638	3117	1761
639	3122	1756
640	3139	1758
641	3140	1751
642	3142	1744
643	3143	1737
644	3144	1730
645	3145	1723
646	3147	1717
647	3148	1710
648	3149	1703
649	3151	1696
650	3152	1689
651	3153	1683
652	3155	1676
653	3157	1670
654	3158	1663
655	3160	1657
656	3161	1650
657	3162	1643
658	3164	1637
659	3166	1630
660	3167	1624
661	3168	1617
662	3170	1611
663	3171	1605
664	3173	1598
665	3174	1592
666	3176	1585
667	3177	1579
668	3179	1572
669	3180	1566
670	3182	1560
671	3183	1553
672	3185	1547
673	3186	1541
674	3188	1535
675	3189	1528
676	3191	1522
677	3192	1516
678	3194	1510
679	3195	1503
680	3197	1497
681	3198	1491
682	3200	1485
683	3201	1479
684	3203	1472
685	3204	1466
686	3206	1460
687	3207	1454
688	3208	1448
689	3210	1442
690	3211	1436
691	3213	1430
692	3215	1424
693	3216	1418
694	3218	1412
695	3242	1416
696	3243	1410
697	3245	1404
698	3246	1398
699	3248	1392
700	3250	1386
701	3251	1380
702	3253	1374
703	3254	1368
704	3256	1362
705	3257	1356
706	3259	1350
707	3260	1344
708	3262	1338
709	3263	1333
710	3265	1327
711	3296	1333
712	3297	1327
713	3298	1321
714	3300	1315
715	3301	1309
716	3303	1303
717	3304	1297
718	3306	1292
719	3307	1286
720	3308	1280
721	3310	1274
722	3311	1268
723	3312	1262
724	3314	1257
725	3315	1251
726	3316	1245
727	3318	1239
728	3319	1233
729	3320	1228
730	3322	1222
731	3323	1216
732	3324	1211
733	3326	1205
734	3327	1199
735	3328	1194
736	3330	1188
737	3331	1182
738	3332	1177
739	3334	1171
740	3335	1165
741	3337	1160
742	3338	1154
743	3340	1149
744	3341	1143
745	3343	1138
746	3344	1132
747	3345	1127
748	3347	1121
749	3348	1116
750	3350	1110
751	3351	1105
752	3352	1099
753	3354	1094
754	3355	1088
755	3356	1083
756	3358	1077
757	3359	1072
758	3360	1067
759	3361	1061
760	3363	1056
761	3364	1050
762	3366	1045
763	3367	1040
764	3368	1034
765	3370	1029
766	3371	1024
767	3373	1018
768	3374	1013
769	3375	1008
770	3377	1003
771	3378	997
772	3380	992
773	3381	987
774	3383	982
775	3384	976
776	3385	971
777	3386	966
778	3388	961
779	3389	955
780	3390	950
781	3391	945
782	3393	940
783	3395	935
784	3402	931
785	3403	926
786	3405	921
787	3407	916
788	3408	911
789	3410	906
790	3411	901
791	3412	896
792	3413	891
793	3415	886
794	3416	880
795	3417	875
796	3419	870
797	3420	865
798	3422	860
799	3423	855
800	3424	850
801	3461	854
802	3462	849
803	3464	844
804	3465	839
805	3466	834
806	3467	829
807	3469	824
808	3470	819
809	3471	814
810	3472	809
811	3474	804
812	3475	799
813	3476	794
814	3477	789
815	3479	784
816	3480	779
817	3481	774
